document	RIX
task_russ_3(2018)_gram_4.txt	8.66666666666667
task_russ_3(2018)_gram_5.txt	3.9
task_russ_3(2018)_gram.txt	2.1
task_russ_4(2009)_gram_2.txt	1.16666666666667
task_russ_4(2009)_gram_3.txt	1.85714285714286
task_russ_4(2009)_gram_4.txt	3.125
task_russ_4(2009)_gram.txt	3.8
task_russ_4(2009)_lexi_2.txt	5
task_russ_4(2009)_lexi.txt	8.5
task_russ_4(2010)_gram_2.txt	3.4
task_russ_4(2010)_gram_3.txt	4.7
task_russ_4(2010)_gram_4.txt	52
task_russ_4(2010)_gram_5.txt	5.7
task_russ_4(2010)_gram.txt	3.25
task_russ_4(2010)_lexi_2.txt	6.4
task_russ_4(2010)_lexi.txt	0.5
task_russ_5(2010)_gram.txt	7.28571428571429
task_russ_5(2010)_lexi_2.txt	3.9
task_russ_5(2010)_lexi_3.txt	2.6
task_russ_5(2010)_lexi_4.txt	3.36363636363636
task_russ_5(2010)_lexi.txt	4.09090909090909
task_russ_6(2011)_gram_2.txt	3.75
task_russ_6(2011)_gram.txt	3
task_russ_6(2011)_leSe.txt	3.0625
task_russ_6(2011)_lexi_2.txt	6.1
task_russ_6(2011)_lexi_3.txt	5.36363636363636
task_russ_6(2011)_lexi.txt	4.69230769230769
task_russ_6(2011)_phra_2.txt	6.83333333333333
task_russ_6(2011)_phra.txt	1.33333333333333
task_russ_6(2011)_tran_2.txt	3.83333333333333
task_russ_6(2011)_tran_3.txt	22
task_russ_6(2011)_tran_4.txt	4.83333333333333
task_russ_6(2011)_tran_5.txt	23
task_russ_6(2011)_tran.txt	3.4375
task_russ_7(2011)_lexi_2.txt	2.625
task_russ_7(2011)_lexi_3.txt	3
task_russ_7(2011)_lexi.txt	2.3
task_russ_8(2011)_gram_2.txt	5.5
task_russ_8(2011)_gram_3.txt	3
task_russ_8(2011)_gram.txt	4.57142857142857
task_russ_8(2011)_lexi.txt	2.46153846153846
task_trav_1(2010)_gram_2.txt	0.666666666666667
task_trav_1(2010)_gram_3.txt	1.25
task_trav_1(2010)_gram_4.txt	2.5
task_trav_1(2010)_gram.txt	2.6
task_trav_1(2010)_lexi.txt	3
task_trav_2(2010)_gram_2.txt	2.3
task_trav_2(2010)_gram_3.txt	2.5
task_trav_2(2010)_gram.txt	2.1
task_trav_2(2010)_lexi.txt	2
task_trav_3(2011)_gram_2.txt	2.4
task_trav_3(2011)_gram_3.txt	1.5
task_trav_3(2011)_gram_4.txt	1.72727272727273
task_trav_3(2011)_gram_5.txt	3.4
task_trav_3(2011)_gram_6.txt	1.9
task_trav_3(2011)_gram.txt	3.1
task_trav_4(2016)_gram_2.txt	5
task_trav_4(2016)_gram_3.txt	2.8
task_trav_4(2016)_gram_4.txt	4.4
task_trav_4(2016)_gram.txt	4.7
task_vost_1(1994)_gram_2.txt	3
task_vost_1(1994)_gram_3.txt	1
task_vost_1(1994)_gram_4.txt	1.25
task_vost_1(1994)_gram.txt	NA
task_vost_1(2009)_gram_2.txt	1
task_vost_1(2009)_gram_3.txt	0.625
task_vost_1(2009)_gram_4.txt	1
task_vost_1(2009)_gram_5.txt	2
task_vost_1(2009)_gram.txt	4
task_vost_1(2011)_gram_2.txt	2.73333333333333
task_vost_1(2011)_gram_3.txt	2.33333333333333
task_vost_1(2011)_gram_4.txt	NA
task_vost_1(2011)_gram_5.txt	2
task_vost_1(2011)_gram_6.txt	1.7
task_vost_1(2011)_gram_7.txt	2.2
task_vost_1(2011)_gram_8.txt	2
task_vost_1(2011)_gram_9.txt	2.54545454545455
task_vost_1(2011)_gram.txt	2.5
task_vost_1(2011)_lexi.txt	1.6
task_vost_2(1996)_gram_2.txt	3.2
task_vost_2(1996)_gram_3.txt	1.6
task_vost_2(1996)_gram_4.txt	1.16666666666667
task_vost_2(1996)_gram.txt	0.666666666666667
task_vost_2(1996)_lexi_2.txt	1.83333333333333
task_vost_2(1996)_lexi.txt	11
task_vost_2(2010)_gram_2.txt	2.55555555555556
task_vost_2(2010)_gram_3.txt	1.375
task_vost_2(2010)_gram_4.txt	3
task_vost_2(2010)_gram_5.txt	5.75
task_vost_2(2010)_gram_6.txt	4.5
task_vost_2(2010)_gram.txt	5
task_vost_2(2010)_lexi.txt	3.75
task_vost_3(1996)_gram_2.txt	4.83333333333333
task_vost_3(1996)_gram_3.txt	2
task_vost_3(1996)_gram_4.txt	2.33333333333333
task_vost_3(1996)_gram_5.txt	0.916666666666667
task_vost_3(1996)_gram.txt	2.4
task_vost_3(1996)_lexi_2.txt	2.2
task_vost_3(1996)_lexi_3.txt	1.33333333333333
task_vost_3(1996)_lexi.txt	1.66666666666667
task_vost_3(2009.9)_gram_2.txt	4.83333333333333
task_vost_3(2009.9)_gram_3.txt	3.11764705882353
task_vost_3(2009.9)_gram_4.txt	1.85714285714286
task_vost_3(2009.9)_gram.txt	2.16666666666667
task_vost_3(2009.9)_lexi_2.txt	3.81818181818182
task_vost_3(2009.9)_lexi.txt	2
task_vost_4(1996)_gram_2.txt	1.8
task_vost_4(1996)_gram_3.txt	1.5
task_vost_4(1996)_gram.txt	0.833333333333333
task_vost_4(1996)_lexi_2.txt	12.75
task_vost_4(1996)_lexi_3.txt	3.14285714285714
task_vost_4(1996)_lexi.txt	7.25
task_vost_4(2010)_gram_2.txt	2.5
task_vost_4(2010)_gram_3.txt	2.5
task_vost_4(2010)_gram_4.txt	1.71428571428571
task_vost_4(2010)_gram_5.txt	6.66666666666667
task_vost_4(2010)_gram_6.txt	3.72727272727273
task_vost_4(2010)_gram.txt	2.72222222222222
task_vost_4(2010)_lexi.txt	3.72727272727273
task_vost_4(2010)_tran.txt	2.75
task_vost_5(1996)_gram_2.txt	3.77777777777778
task_vost_5(1996)_gram.txt	7.2
task_vost_5(1996)_leSt_2.txt	3
task_vost_5(1996)_leSt.txt	3.23076923076923
task_vost_5(1996)_lexi.txt	4.4
task_vost_5(2011)_gram_2.txt	5.66666666666667
task_vost_5(2011)_gram_3.txt	6.875
task_vost_5(2011)_gram_4.txt	4.4
task_vost_5(2011)_gram.txt	9.33333333333333
task_vost_5(2011)_lexi_2.txt	3.85714285714286
task_vost_5(2011)_lexi_3.txt	4
task_vost_5(2011)_lexi_4.txt	4.33333333333333
task_vost_5(2011)_lexi_5.txt	12.5
task_vost_5(2011)_lexi.txt	3.33333333333333
task_vost_6(1997)_leSt_2.txt	4.25
task_vost_6(1997)_leSt_3.txt	2.71428571428571
task_vost_6(1997)_leSt_4.txt	4.44444444444444
task_vost_6(1997)_leSt_5.txt	3.22222222222222
task_vost_6(1997)_leSt_6.txt	3.8
task_vost_6(1997)_leSt.txt	28
task_vost_6(1997)_lexi.txt	34
task_vost_6(2012)_leSt_2.txt	4
task_vost_6(2012)_leSt_3.txt	3.14285714285714
task_vost_6(2012)_leSt_4.txt	4.42857142857143
task_vost_6(2012)_leSt.txt	4.16666666666667
task_vost_7(1996)_leSe_2.txt	4.8
task_vost_7(1996)_leSe_3.txt	4.125
task_vost_7(1996)_leSe_4.txt	3.8
task_vost_7(1996)_leSe_5.txt	4
task_vost_7(1996)_leSe_6.txt	2.25
task_vost_7(1996)_leSe_7.txt	4.84615384615385
task_vost_7(1996)_leSe_8.txt	9.33333333333333
task_vost_7(1996)_leSe.txt	5.8
task_vost_7(1996)_leSt.txt	3.11111111111111
task_vost_7(2013)_gram_2.txt	3.69230769230769
task_vost_7(2013)_gram.txt	3.8
task_vost_7(2013)_leSt_2.txt	2.58333333333333
task_vost_7(2013)_leSt_3.txt	2.75
task_vost_7(2013)_leSt.txt	3.33333333333333
task_vost_7(2013)_lexi_2.txt	4.5
task_vost_7(2013)_lexi_3.txt	5.2
task_vost_7(2013)_lexi.txt	2.4
task_vost_8(1997)_gram.txt	8.25
task_vost_8(1997)_leSe_2.txt	3.4
task_vost_8(1997)_leSe_3.txt	2.14285714285714
task_vost_8(1997)_leSe_4.txt	3.5
task_vost_8(1997)_leSe.txt	3.72727272727273
task_vost_8(1997)_woFo_2.txt	5.33333333333333
task_vost_8(1997)_woFo_3.txt	10.6666666666667
task_vost_8(1997)_woFo.txt	9.625
task_vost_8(2014)_gram.txt	3.375
task_vost_8(2014)_leSe.txt	6.75
task_vost_8(2014)_leSt.txt	1.66666666666667
task_vost_8(2014)_lexi_2.txt	9.8
task_vost_8(2014)_lexi_3.txt	3.66666666666667
task_vost_8(2014)_lexi_4.txt	4.6
task_vost_8(2014)_lexi.txt	4.5
task_vost_8(2014)_styl.txt	2.75
