document	K
read_vost_4(2010)_5.txt	67.3033064508302
read_vost_4(2010)_6.txt	81.5266011653325
read_vost_4(2010)_7.txt	64.7342168321189
read_vost_4(2010)_8.txt	50.659164123792
read_vost_4(2010).txt	56.2957402889848
read_vost_5(1996)_2.txt	30.7183364839319
read_vost_5(1996)_3.txt	74.3162901307967
read_vost_5(1996)_4.txt	71.0333993579674
read_vost_5(1996)_5.txt	82.0904150768875
read_vost_5(1996).txt	49.1495828752506
read_vost_5(2011)_2.txt	60.124104112441
read_vost_5(2011)_3.txt	53.6006242568371
read_vost_5(2011)_4.txt	70.7258149224467
read_vost_5(2011)_5.txt	44.2637654486366
read_vost_5(2011)_6.txt	60.7700312174818
read_vost_5(2011)_7.txt	46.5627627239216
read_vost_5(2011)_8.txt	67.6041103299081
read_vost_5(2011)_9.txt	35.1393022338556
read_vost_5(2011).txt	53.2566688660571
read_vost_6(1997)_2.txt	45.0186180721016
read_vost_6(1997)_3.txt	74.5863083525421
read_vost_6(1997).txt	189.035916824197
read_vost_6(2012)_2.txt	72.352083745586
read_vost_6(2012)_3.txt	58.2501155866124
read_vost_6(2012)_4.txt	60.1577752734084
read_vost_6(2012)_5.txt	55.079314212466
read_vost_6(2012)_6.txt	54.0672837308651
read_vost_6(2012).txt	49.2095947265625
read_vost_7(1996)_10.txt	35.9963269054178
read_vost_7(1996)_2.txt	55.8166716293848
read_vost_7(1996)_3.txt	98.3728445194315
read_vost_7(1996)_4.txt	49.2459218220991
read_vost_7(1996)_5.txt	47.7035226069975
read_vost_7(1996)_6.txt	51.4678162238358
read_vost_7(1996)_7.txt	59.248999692213
read_vost_7(1996)_8.txt	48.2041587901701
read_vost_7(1996)_9.txt	46.1875836907373
read_vost_7(1996).txt	50.4329885498144
read_vost_7(2013)_2.txt	39.2548289357404
read_vost_7(2013)_3.txt	53.1475236394895
read_vost_7(2013)_4.txt	63.1670888287187
read_vost_7(2013).txt	41.5575165308377
read_vost_8(1997)_2.txt	55.428648212846
read_vost_8(1997)_3.txt	42.2777117188532
read_vost_8(1997)_4.txt	39.7914260068744
read_vost_8(1997)_5.txt	38.5669610293898
read_vost_8(1997)_6.txt	49.8605614265578
read_vost_8(1997).txt	42.1828772189349
read_vost_8(2014)_2.txt	54.2576933314224
read_vost_8(2014)_3.txt	63.7794879533223
read_vost_8(2014)_4.txt	54.4954727955952
read_vost_8(2014)_5.txt	50.7489669421488
read_vost_8(2014)_6.txt	45.1449461551291
read_vost_8(2014)_7.txt	30.4035915051072
read_vost_8(2014)_8.txt	34.1590852601343
read_vost_8(2014).txt	53.0520247167237
task_basi_(1980)_gram_2.txt	272.108843537415
task_basi_(1980)_gram_3.txt	113.421550094518
task_basi_(1980)_gram_4.txt	215.485756026297
task_basi_(1980)_gram_5.txt	123.96694214876
task_basi_(1980)_gram_6.txt	102.040816326531
task_basi_(1980)_gram.txt	124.869927159209
task_basi_(1980)_synt.txt	444.444444444445
task_basi_II(1980)_gram_2.txt	101.701183431953
task_basi_II(1980)_gram_3.txt	22.2222222222222
task_basi_II(1980)_gram_4.txt	44.4444444444444
task_basi_II(1980)_gram_5.txt	460.069444444444
task_basi_II(1980)_gram_6.txt	227.272727272727
task_basi_II(1980)_gram_7.txt	106.666666666667
task_basi_II(1980)_gram.txt	122.873345935728
task_basi_II(1980)_lexi.txt	31.1873468478503
task_basi_II(1980)_synt.txt	69.1358024691358
task_basi_III(1981)_gram_2.txt	52.5969756738988
task_basi_III(1981)_gram_3.txt	59.4530321046373
task_basi_III(1981)_gram_4.txt	37.8071833648393
task_basi_III(1981)_gram_5.txt	210.387902695595
task_basi_III(1981)_gram_6.txt	50.5350772889417
task_basi_III(1981)_gram_7.txt	27.4348422496571
task_basi_III(1981)_gram.txt	68.870523415978
task_basi_III(1981)_leSe_2.txt	56.8181818181818
task_basi_III(1981)_leSe_3.txt	14.2011834319527
task_basi_III(1981)_leSe.txt	65.3983353151011
task_basi_IV(1981)_lexi_2.txt	37.8071833648394
task_basi_IV(1981)_lexi_3.txt	26.7320115838717
task_basi_IV(1981)_lexi.txt	48.3740929857565
task_basi_IV(1981)_phra.txt	34.7826086956522
task_russ_(2010)_gram_2.txt	124.869927159209
task_russ_(2010)_gram_3.txt	75.6081525312295
task_russ_(2010)_gram_4.txt	26.986001011975
task_russ_(2010)_gram.txt	50.5651397977394
task_russ_(2010)_lexi_2.txt	19.53125
task_russ_(2010)_lexi_3.txt	24.4140625
task_russ_(2010)_lexi.txt	14.2399430402278
task_russ_1(2008)_gram.txt	256.367009613763
task_russ_1(2009)_gram_2.txt	107.015457788347
task_russ_1(2009)_gram_3.txt	118.247782854072
task_russ_1(2009)_gram.txt	95.7420005039052
task_russ_1(2015)_gram_2.txt	500
task_russ_1(2015)_gram_3.txt	14.609203798393
task_russ_1(2015)_gram.txt	154.95867768595
task_russ_2(2008)_gram.txt	41.5512465373961
task_russ_2(2009)_gram_2.txt	138.888888888889
task_russ_2(2009)_gram_3.txt	46.2809917355372
task_russ_2(2009)_gram.txt	246.755327671847
task_russ_2(2009)_lexi.txt	69.4444444444444
task_russ_2(2016)_gram_2.txt	153.061224489796
task_russ_2(2016)_gram_3.txt	175.409006577838
task_russ_2(2016)_gram.txt	125.956632653061
task_russ_3(2009)_gram_2.txt	71.604938271605
task_russ_3(2009)_gram_3.txt	49.2459218220991
task_russ_3(2009)_gram_4.txt	84.0159630329763
task_russ_3(2009)_gram_5.txt	50.3905265810028
task_russ_3(2009)_gram_6.txt	16.6666666666667
task_russ_3(2009)_gram_7.txt	68.5871056241427
task_russ_3(2009)_gram.txt	30.7692307692308
task_russ_3(2009)_lexi.txt	110.803324099723
task_russ_3(2018)_gram_2.txt	16.8031926065953
task_russ_3(2018)_gram_3.txt	57.2320499479708
task_russ_3(2018)_gram_4.txt	44.3786982248521
task_russ_3(2018)_gram_5.txt	42.5330812854442
task_russ_3(2018)_gram.txt	58.8111741230834
task_russ_4(2009)_gram_2.txt	69.204152249135
task_russ_4(2009)_gram_3.txt	41.2835428785888
task_russ_4(2009)_gram_4.txt	30.3592511384719
task_russ_4(2009)_gram.txt	130.03266078569
task_russ_4(2009)_lexi_2.txt	98.0173758075295
task_russ_4(2009)_lexi.txt	81.289011467557
task_russ_4(2010)_gram_2.txt	102.040816326531
task_russ_4(2010)_gram_3.txt	18.1474480151229
task_russ_4(2010)_gram_4.txt	25.0606938679615
task_russ_4(2010)_gram_5.txt	95.5438953716031
task_russ_4(2010)_gram.txt	56.8571708656014
task_russ_4(2010)_lexi_2.txt	162.706611570248
task_russ_4(2010)_lexi.txt	527.645659928656
task_russ_5(2010)_gram.txt	18.9291508923742
task_russ_5(2010)_lexi_2.txt	46.763736847699
task_russ_5(2010)_lexi_3.txt	63.1233430122459
task_russ_5(2010)_lexi_4.txt	50.1225217197594
task_russ_5(2010)_lexi.txt	57.9491055681532
task_russ_6(2011)_gram_2.txt	23.7953599048186
task_russ_6(2011)_gram.txt	88.8888888888889
task_russ_6(2011)_leSe.txt	55.8977278608768
task_russ_6(2011)_lexi_2.txt	62.8372378935865
task_russ_6(2011)_lexi_3.txt	69.3333333333334
task_russ_6(2011)_lexi.txt	48.6177850641642
task_russ_6(2011)_phra_2.txt	39.6825396825397
task_russ_6(2011)_phra.txt	39.5061728395062
task_russ_6(2011)_tran_2.txt	74.4429354660228
task_russ_6(2011)_tran_3.txt	37.5
task_russ_6(2011)_tran_4.txt	37.2605717168973
task_russ_6(2011)_tran_5.txt	14.609203798393
task_russ_6(2011)_tran.txt	36.2139917695473
task_russ_7(2011)_lexi_2.txt	32.8707085463843
task_russ_7(2011)_lexi_3.txt	90.9037934852281
task_russ_7(2011)_lexi.txt	19.723865877712
task_russ_8(2011)_gram_2.txt	15.1909722222222
task_russ_8(2011)_gram_3.txt	58.436815193572
task_russ_8(2011)_gram.txt	99.4809688581315
task_russ_8(2011)_lexi.txt	113.66630283413
task_trav_1(2010)_gram_2.txt	45.3514739229024
task_trav_1(2010)_gram_3.txt	262.713454681929
task_trav_1(2010)_gram_4.txt	38.4467512495194
task_trav_1(2010)_gram.txt	41.3223140495868
task_trav_1(2010)_lexi.txt	51.6528925619834
task_trav_2(2010)_gram_2.txt	19.8373338623289
task_trav_2(2010)_gram_3.txt	78.2222222222223
task_trav_2(2010)_gram.txt	80.6248425296044
task_trav_2(2010)_lexi.txt	136.054421768707
task_trav_3(2011)_gram_2.txt	214.835244592829
task_trav_3(2011)_gram_3.txt	53.7109375
task_trav_3(2011)_gram_4.txt	120.245115042201
task_trav_3(2011)_gram_5.txt	26.0416666666666
task_trav_3(2011)_gram_6.txt	38.9273356401384
task_trav_3(2011)_gram.txt	60.9667586006677
task_trav_4(2016)_gram_2.txt	115.836000609663
task_trav_4(2016)_gram_3.txt	27.7008310249307
task_trav_4(2016)_gram_4.txt	28.2118055555555
task_trav_4(2016)_gram.txt	84.0192043895748
task_vost_1(1994)_gram_2.txt	1006.94444444444
task_vost_1(1994)_gram_3.txt	1991.83673469388
task_vost_1(1994)_gram_4.txt	408.163265306122
task_vost_1(1994)_gram.txt	1232.63888888889
task_vost_1(2009)_gram_2.txt	299.586776859504
task_vost_1(2009)_gram_3.txt	167.658193618172
task_vost_1(2009)_gram_4.txt	181.077410593028
task_vost_1(2009)_gram_5.txt	50.0000000000001
task_vost_1(2009)_gram.txt	1020.40816326531
task_vost_1(2011)_gram_2.txt	282.186948853615
task_vost_1(2011)_gram_3.txt	416.666666666667
task_vost_1(2011)_gram_4.txt	370.37037037037
task_vost_1(2011)_gram_5.txt	535.549399815328
task_vost_1(2011)_gram_6.txt	442.247658688866
task_vost_1(2011)_gram_7.txt	154.577883472057
task_vost_1(2011)_gram_8.txt	604.686318972033
task_vost_1(2011)_gram_9.txt	520.777978531194
task_vost_1(2011)_gram.txt	746.691871455576
task_vost_1(2011)_lexi.txt	307.574009996155
task_vost_2(1996)_gram_2.txt	18.1077410593028
task_vost_2(1996)_gram_3.txt	34.6020761245675
task_vost_2(1996)_gram_4.txt	50
task_vost_2(1996)_gram.txt	54.0832882639264
task_vost_2(1996)_lexi_2.txt	151.228733459357
task_vost_2(1996)_lexi.txt	0
task_vost_2(2010)_gram_2.txt	189.600689457053
task_vost_2(2010)_gram_3.txt	25.5102040816326
task_vost_2(2010)_gram_4.txt	107.421875
task_vost_2(2010)_gram_5.txt	85.8131487889273
task_vost_2(2010)_gram_6.txt	147.361957808868
task_vost_2(2010)_gram.txt	45.2693526482571
task_vost_2(2010)_lexi.txt	65.7414170927685
task_vost_3(1996)_gram_2.txt	81.6326530612245
task_vost_3(1996)_gram_3.txt	56.710775047259
task_vost_3(1996)_gram_4.txt	62.5000000000001
task_vost_3(1996)_gram_5.txt	297.441998810232
task_vost_3(1996)_gram.txt	138.888888888889
task_vost_3(1996)_lexi_2.txt	32.6530612244898
task_vost_3(1996)_lexi_3.txt	69.4444444444444
task_vost_3(1996)_lexi.txt	198.373338623289
task_vost_3(2009.9)_gram_2.txt	57.1428571428572
task_vost_3(2009.9)_gram_3.txt	38.7004150931619
task_vost_3(2009.9)_gram_4.txt	387.543252595156
task_vost_3(2009.9)_gram.txt	190.362879238548
task_vost_3(2009.9)_lexi_2.txt	54
task_vost_3(2009.9)_lexi.txt	63.37709370756
task_vost_4(1996)_gram_2.txt	138.271604938272
task_vost_4(1996)_gram_3.txt	46.8262226847034
task_vost_4(1996)_gram.txt	102.5390625
task_vost_4(1996)_lexi_2.txt	35.1331360946746
task_vost_4(1996)_lexi_3.txt	160.39206950323
task_vost_4(1996)_lexi.txt	46.2809917355372
