Text	Types	Tokens	Sentences
read_vost_8(2014)_8.txt	761	1444	88
read_vost_8(2014).txt	614	1083	64
task_basi_(1980)_gram_2.txt	43	75	8
task_basi_(1980)_gram_3.txt	51	78	13
task_basi_(1980)_gram_4.txt	72	152	5
task_basi_(1980)_gram_5.txt	49	84	8
task_basi_(1980)_gram_6.txt	45	88	6
task_basi_(1980)_gram.txt	35	49	6
task_basi_(1980)_synt.txt	43	72	9
task_basi_II(1980)_gram_2.txt	90	182	10
task_basi_II(1980)_gram_3.txt	38	45	6
task_basi_II(1980)_gram_4.txt	39	48	4
task_basi_II(1980)_gram_5.txt	36	87	8
task_basi_II(1980)_gram_6.txt	49	67	5
task_basi_II(1980)_gram_7.txt	67	187	6
task_basi_II(1980)_gram.txt	42	103	8
task_basi_II(1980)_lexi.txt	72	137	8
task_basi_II(1980)_synt.txt	53	73	8
task_basi_III(1981)_gram_2.txt	79	169	8
task_basi_III(1981)_gram_3.txt	99	201	12
task_basi_III(1981)_gram_4.txt	72	117	7
task_basi_III(1981)_gram_5.txt	48	89	3
task_basi_III(1981)_gram_6.txt	114	195	3
task_basi_III(1981)_gram_7.txt	64	85	10
task_basi_III(1981)_gram.txt	70	130	1
task_basi_III(1981)_leSe_2.txt	96	160	13
task_basi_III(1981)_leSe_3.txt	75	122	9
task_basi_III(1981)_leSe.txt	62	109	6
task_basi_IV(1981)_lexi_2.txt	76	129	8
task_basi_IV(1981)_lexi_3.txt	76	118	7
task_basi_IV(1981)_lexi.txt	64	100	9
task_basi_IV(1981)_phra.txt	116	179	11
task_russ_(2010)_gram_2.txt	35	46	5
task_russ_(2010)_gram_3.txt	76	119	10
task_russ_(2010)_gram_4.txt	84	118	8
task_russ_(2010)_gram.txt	79	124	10
task_russ_(2010)_lexi_2.txt	73	94	7
task_russ_(2010)_lexi_3.txt	70	96	7
task_russ_(2010)_lexi.txt	64	83	8
task_russ_1(2008)_gram.txt	64	105	11
task_russ_1(2009)_gram_2.txt	53	93	10
task_russ_1(2009)_gram_3.txt	61	119	10
task_russ_1(2009)_gram.txt	58	131	10
task_russ_1(2015)_gram_2.txt	25	50	5
task_russ_1(2015)_gram_3.txt	51	78	10
task_russ_1(2015)_gram.txt	42	88	9
task_russ_2(2008)_gram.txt	82	131	11
task_russ_2(2009)_gram_2.txt	68	135	14
task_russ_2(2009)_gram_3.txt	66	110	11
task_russ_2(2009)_gram.txt	69	115	13
task_russ_2(2009)_lexi.txt	53	97	9
task_russ_2(2016)_gram_2.txt	81	147	10
task_russ_2(2016)_gram_3.txt	76	138	10
task_russ_2(2016)_gram.txt	103	172	10
task_russ_3(2009)_gram_2.txt	91	162	13
task_russ_3(2009)_gram_3.txt	62	105	9
task_russ_3(2009)_gram_4.txt	69	129	5
task_russ_3(2009)_gram_5.txt	68	118	10
task_russ_3(2009)_gram_6.txt	69	105	7
task_russ_3(2009)_gram_7.txt	56	78	6
task_russ_3(2009)_gram.txt	119	174	13
task_russ_3(2009)_lexi.txt	56	102	6
task_russ_3(2018)_gram_2.txt	80	103	6
task_russ_3(2018)_gram_3.txt	61	90	6
task_russ_3(2018)_gram_4.txt	63	103	4
task_russ_3(2018)_gram_5.txt	102	131	10
task_russ_3(2018)_gram.txt	77	121	10
task_russ_4(2009)_gram_2.txt	38	52	6
task_russ_4(2009)_gram_3.txt	76	106	12
task_russ_4(2009)_gram_4.txt	82	134	8
task_russ_4(2009)_gram.txt	136	236	10
task_russ_4(2009)_lexi_2.txt	68	139	2
task_russ_4(2009)_lexi.txt	84	170	2
task_russ_4(2010)_gram_2.txt	92	138	10
task_russ_4(2010)_gram_3.txt	125	177	10
task_russ_4(2010)_gram_4.txt	118	178	1
task_russ_4(2010)_gram_5.txt	113	165	11
task_russ_4(2010)_gram.txt	97	146	12
task_russ_4(2010)_lexi_2.txt	72	123	7
task_russ_4(2010)_lexi.txt	81	188	22
task_russ_5(2010)_gram.txt	94	144	9
task_russ_5(2010)_lexi_2.txt	103	171	11
task_russ_5(2010)_lexi_3.txt	87	161	10
task_russ_5(2010)_lexi_4.txt	128	203	11
task_russ_5(2010)_lexi.txt	125	206	13
task_russ_6(2011)_gram_2.txt	52	81	12
task_russ_6(2011)_gram.txt	37	66	5
task_russ_6(2011)_leSe.txt	143	213	18
task_russ_6(2011)_lexi_2.txt	105	154	10
task_russ_6(2011)_lexi_3.txt	143	230	16
task_russ_6(2011)_lexi.txt	142	194	13
task_russ_6(2011)_phra_2.txt	79	105	6
task_russ_6(2011)_phra.txt	54	80	8
task_russ_6(2011)_tran_2.txt	135	211	12
task_russ_6(2011)_tran_3.txt	39	51	1
task_russ_6(2011)_tran_4.txt	216	314	21
task_russ_6(2011)_tran_5.txt	37	52	1
task_russ_6(2011)_tran.txt	134	206	16
task_russ_7(2011)_lexi_2.txt	80	113	15
task_russ_7(2011)_lexi_3.txt	124	201	23
task_russ_7(2011)_lexi.txt	89	120	18
task_russ_8(2011)_gram_2.txt	102	132	15
task_russ_8(2011)_gram_3.txt	76	108	16
task_russ_8(2011)_gram.txt	68	108	14
task_russ_8(2011)_lexi.txt	141	257	50
task_trav_1(2010)_gram_2.txt	29	47	5
task_trav_1(2010)_gram_3.txt	76	169	15
task_trav_1(2010)_gram_4.txt	60	103	9
task_trav_1(2010)_gram.txt	56	90	11
task_trav_1(2010)_lexi.txt	49	73	8
task_trav_2(2010)_gram_2.txt	83	124	10
task_trav_2(2010)_gram_3.txt	77	168	11
task_trav_2(2010)_gram.txt	68	114	10
task_trav_2(2010)_lexi.txt	27	39	6
task_trav_3(2011)_gram_2.txt	84	147	11
task_trav_3(2011)_gram_3.txt	67	88	12
task_trav_3(2011)_gram_4.txt	80	118	12
task_trav_3(2011)_gram_5.txt	56	75	5
task_trav_3(2011)_gram_6.txt	76	118	10
task_trav_3(2011)_gram.txt	89	141	10
task_trav_4(2016)_gram_2.txt	80	131	16
task_trav_4(2016)_gram_3.txt	44	58	5
task_trav_4(2016)_gram_4.txt	102	179	10
task_trav_4(2016)_gram.txt	107	185	10
task_vost_1(1994)_gram_2.txt	19	66	1
task_vost_1(1994)_gram_3.txt	26	110	15
task_vost_1(1994)_gram_4.txt	29	56	8
task_vost_1(1994)_gram.txt	18	64	16
task_vost_1(2009)_gram_2.txt	38	96	8
task_vost_1(2009)_gram_3.txt	63	152	19
task_vost_1(2009)_gram_4.txt	44	86	12
task_vost_1(2009)_gram_5.txt	29	54	6
task_vost_1(2009)_gram.txt	12	27	1
task_vost_1(2011)_gram_2.txt	58	139	15
task_vost_1(2011)_gram_3.txt	30	81	6
task_vost_1(2011)_gram_4.txt	20	45	10
task_vost_1(2011)_gram_5.txt	53	121	23
task_vost_1(2011)_gram_6.txt	49	116	18
task_vost_1(2011)_gram_7.txt	52	124	12
task_vost_1(2011)_gram_8.txt	51	121	21
task_vost_1(2011)_gram_9.txt	68	194	27
task_vost_1(2011)_gram.txt	38	94	24
task_vost_1(2011)_lexi.txt	47	79	15
task_vost_2(1996)_gram_2.txt	55	91	5
task_vost_2(1996)_gram_3.txt	42	82	5
task_vost_2(1996)_gram_4.txt	47	88	6
task_vost_2(1996)_gram.txt	49	66	8
task_vost_2(1996)_lexi_2.txt	50	71	6
task_vost_2(1996)_lexi.txt	21	34	1
task_vost_2(2010)_gram_2.txt	55	81	15
task_vost_2(2010)_gram_3.txt	60	121	9
task_vost_2(2010)_gram_4.txt	61	126	12
task_vost_2(2010)_gram_5.txt	73	151	9
task_vost_2(2010)_gram_6.txt	103	196	13
task_vost_2(2010)_gram.txt	46	68	8
task_vost_2(2010)_lexi.txt	74	120	9
task_vost_3(1996)_gram_2.txt	61	88	6
task_vost_3(1996)_gram_3.txt	54	111	13
task_vost_3(1996)_gram_4.txt	44	79	6
task_vost_3(1996)_gram_5.txt	56	149	13
task_vost_3(1996)_gram.txt	46	70	5
task_vost_3(1996)_lexi_2.txt	41	63	5
task_vost_3(1996)_lexi_3.txt	54	97	6
task_vost_3(1996)_lexi.txt	55	120	9
task_vost_3(2009.9)_gram_2.txt	65	88	6
task_vost_3(2009.9)_gram_3.txt	162	234	19
task_vost_3(2009.9)_gram_4.txt	56	122	22
task_vost_3(2009.9)_gram.txt	35	65	12
task_vost_3(2009.9)_lexi_2.txt	87	124	12
task_vost_3(2009.9)_lexi.txt	53	82	14
task_vost_4(1996)_gram_2.txt	49	101	5
task_vost_4(1996)_gram_3.txt	62	106	6
task_vost_4(1996)_gram.txt	62	93	14
task_vost_4(1996)_lexi_2.txt	103	205	4
task_vost_4(1996)_lexi_3.txt	64	121	7
task_vost_4(1996)_lexi.txt	63	77	4
task_vost_4(2010)_gram_2.txt	57	93	12
task_vost_4(2010)_gram_3.txt	48	95	13
task_vost_4(2010)_gram_4.txt	66	100	21
task_vost_4(2010)_gram_5.txt	86	109	13
task_vost_4(2010)_gram_6.txt	90	135	11
task_vost_4(2010)_gram.txt	139	229	19
task_vost_4(2010)_lexi.txt	114	169	14
task_vost_4(2010)_tran.txt	89	136	8
task_vost_5(1996)_gram_2.txt	94	129	11
task_vost_5(1996)_gram.txt	82	111	5
task_vost_5(1996)_leSt_2.txt	73	100	8
task_vost_5(1996)_leSt.txt	124	170	14
task_vost_5(1996)_lexi.txt	63	77	5
task_vost_5(2011)_gram_2.txt	97	166	9
task_vost_5(2011)_gram_3.txt	132	187	8
task_vost_5(2011)_gram_4.txt	87	117	10
task_vost_5(2011)_gram.txt	96	132	6
task_vost_5(2011)_lexi_2.txt	100	146	9
task_vost_5(2011)_lexi_3.txt	104	158	14
task_vost_5(2011)_lexi_4.txt	130	199	13
task_vost_5(2011)_lexi_5.txt	61	99	2
task_vost_5(2011)_lexi.txt	105	151	10
task_vost_6(1997)_leSt_2.txt	101	145	8
task_vost_6(1997)_leSt_3.txt	54	75	8
task_vost_6(1997)_leSt_4.txt	83	127	9
task_vost_6(1997)_leSt_5.txt	73	100	10
task_vost_6(1997)_leSt_6.txt	44	57	6
task_vost_6(1997)_leSt.txt	59	91	1
task_vost_6(1997)_lexi.txt	50	72	1
task_vost_6(2012)_leSt_2.txt	58	74	6
task_vost_6(2012)_leSt_3.txt	71	91	7
task_vost_6(2012)_leSt_4.txt	80	100	7
task_vost_6(2012)_leSt.txt	72	99	7
task_vost_7(1996)_leSe_2.txt	108	170	10
task_vost_7(1996)_leSe_3.txt	96	128	8
task_vost_7(1996)_leSe_4.txt	83	129	5
task_vost_7(1996)_leSe_5.txt	89	121	9
task_vost_7(1996)_leSe_6.txt	65	109	11
task_vost_7(1996)_leSe_7.txt	146	217	13
task_vost_7(1996)_leSe_8.txt	101	149	6
task_vost_7(1996)_leSe.txt	94	147	12
task_vost_7(1996)_leSt.txt	63	106	9
task_vost_7(2013)_gram_2.txt	136	201	13
task_vost_7(2013)_gram.txt	106	157	10
task_vost_7(2013)_leSt_2.txt	99	161	13
task_vost_7(2013)_leSt_3.txt	78	104	9
task_vost_7(2013)_leSt.txt	62	93	8
task_vost_7(2013)_lexi_2.txt	80	111	6
task_vost_7(2013)_lexi_3.txt	65	78	5
task_vost_7(2013)_lexi.txt	48	68	5
task_vost_8(1997)_gram.txt	104	144	8
task_vost_8(1997)_leSe_2.txt	55	74	6
task_vost_8(1997)_leSe_3.txt	62	82	8
task_vost_8(1997)_leSe_4.txt	113	145	14
task_vost_8(1997)_leSe.txt	120	163	13
task_vost_8(1997)_woFo_2.txt	99	124	9
task_vost_8(1997)_woFo_3.txt	68	87	3
task_vost_8(1997)_woFo.txt	120	190	8
task_vost_8(2014)_gram.txt	82	120	8
task_vost_8(2014)_leSe.txt	86	124	4
task_vost_8(2014)_leSt.txt	58	86	9
task_vost_8(2014)_lexi_2.txt	105	140	5
task_vost_8(2014)_lexi_3.txt	63	82	6
task_vost_8(2014)_lexi_4.txt	83	123	5
task_vost_8(2014)_lexi.txt	84	104	8
task_vost_8(2014)_styl.txt	102	167	16
