document	TTR
read_vost_4(1996)_6.txt	0.686915887850467
read_vost_4(1996).txt	0.708984375
read_vost_4(2010)_2.txt	0.739946380697051
read_vost_4(2010)_3.txt	0.657608695652174
read_vost_4(2010)_4.txt	0.636835278858625
read_vost_4(2010)_5.txt	0.643302180685358
read_vost_4(2010)_6.txt	0.655394524959742
read_vost_4(2010)_7.txt	0.592657342657343
read_vost_4(2010)_8.txt	0.670553935860058
read_vost_4(2010).txt	0.753424657534247
read_vost_5(1996)_2.txt	0.820652173913043
read_vost_5(1996)_3.txt	0.732758620689655
read_vost_5(1996)_4.txt	0.685950413223141
read_vost_5(1996)_5.txt	0.709677419354839
read_vost_5(1996).txt	0.671732522796353
read_vost_5(2011)_2.txt	0.415397999130057
read_vost_5(2011)_3.txt	0.635775862068966
read_vost_5(2011)_4.txt	0.763313609467456
read_vost_5(2011)_5.txt	0.778156996587031
read_vost_5(2011)_6.txt	0.664516129032258
read_vost_5(2011)_7.txt	0.651975683890577
read_vost_5(2011)_8.txt	0.625581395348837
read_vost_5(2011)_9.txt	0.775449101796407
read_vost_5(2011).txt	0.684466019417476
read_vost_6(1997)_2.txt	0.795847750865052
read_vost_6(1997)_3.txt	0.753246753246753
read_vost_6(1997).txt	0.630434782608696
read_vost_6(2012)_2.txt	0.636060100166945
read_vost_6(2012)_3.txt	0.622296173044925
read_vost_6(2012)_4.txt	0.687250996015936
read_vost_6(2012)_5.txt	0.746835443037975
read_vost_6(2012)_6.txt	0.686320754716981
read_vost_6(2012).txt	0.658203125
read_vost_7(1996)_10.txt	0.743434343434343
read_vost_7(1996)_2.txt	0.471102780381131
read_vost_7(1996)_3.txt	0.732620320855615
read_vost_7(1996)_4.txt	0.795321637426901
read_vost_7(1996)_5.txt	0.787644787644788
read_vost_7(1996)_6.txt	0.753036437246964
read_vost_7(1996)_7.txt	0.714912280701754
read_vost_7(1996)_8.txt	0.644565217391304
read_vost_7(1996)_9.txt	0.57488986784141
read_vost_7(1996).txt	0.671968190854871
read_vost_7(2013)_2.txt	0.671348314606742
read_vost_7(2013)_3.txt	0.570422535211268
read_vost_7(2013)_4.txt	0.678504672897196
read_vost_7(2013).txt	0.608062709966405
read_vost_8(1997)_2.txt	0.733606557377049
read_vost_8(1997)_3.txt	0.839080459770115
read_vost_8(1997)_4.txt	0.607240811848601
read_vost_8(1997)_5.txt	0.66711140760507
read_vost_8(1997)_6.txt	0.518455228981545
read_vost_8(1997).txt	0.759615384615385
read_vost_8(2014)_2.txt	0.735294117647059
read_vost_8(2014)_3.txt	0.665248226950355
read_vost_8(2014)_4.txt	0.556126192223037
read_vost_8(2014)_5.txt	0.609090909090909
read_vost_8(2014)_6.txt	0.650743099787686
read_vost_8(2014)_7.txt	0.725403817914831
read_vost_8(2014)_8.txt	0.625980819529207
read_vost_8(2014).txt	0.674144037780401
task_basi_(1980)_gram_2.txt	0.738095238095238
task_basi_(1980)_gram_3.txt	0.847826086956522
task_basi_(1980)_gram_4.txt	0.743243243243243
task_basi_(1980)_gram_5.txt	0.818181818181818
task_basi_(1980)_gram_6.txt	0.833333333333333
task_basi_(1980)_gram.txt	0.838709677419355
