document	SMOG
read_vost_8(1997)_3.txt	3.1291
read_vost_8(1997)_4.txt	3.1291
read_vost_8(1997)_5.txt	3.1291
read_vost_8(1997)_6.txt	3.1291
read_vost_8(1997).txt	3.1291
read_vost_8(2014)_2.txt	3.1291
read_vost_8(2014)_3.txt	3.1291
read_vost_8(2014)_4.txt	3.9138060499994
read_vost_8(2014)_5.txt	3.1291
read_vost_8(2014)_6.txt	3.1291
read_vost_8(2014)_7.txt	3.1291
read_vost_8(2014)_8.txt	3.1291
read_vost_8(2014).txt	3.1291
task_basi_(1980)_gram_2.txt	3.1291
task_basi_(1980)_gram_3.txt	3.1291
task_basi_(1980)_gram_4.txt	3.1291
task_basi_(1980)_gram_5.txt	3.1291
task_basi_(1980)_gram_6.txt	3.1291
task_basi_(1980)_gram.txt	3.1291
task_basi_(1980)_synt.txt	3.1291
task_basi_II(1980)_gram_2.txt	3.1291
task_basi_II(1980)_gram_3.txt	3.1291
task_basi_II(1980)_gram_4.txt	3.1291
task_basi_II(1980)_gram_5.txt	3.1291
task_basi_II(1980)_gram_6.txt	3.1291
task_basi_II(1980)_gram_7.txt	3.1291
task_basi_II(1980)_gram.txt	3.1291
task_basi_II(1980)_lexi.txt	3.1291
task_basi_II(1980)_synt.txt	3.1291
task_basi_III(1981)_gram_2.txt	3.1291
task_basi_III(1981)_gram_3.txt	3.1291
task_basi_III(1981)_gram_4.txt	3.1291
task_basi_III(1981)_gram_5.txt	3.1291
task_basi_III(1981)_gram_6.txt	3.1291
task_basi_III(1981)_gram_7.txt	3.1291
task_basi_III(1981)_gram.txt	3.1291
task_basi_III(1981)_leSe_2.txt	3.1291
task_basi_III(1981)_leSe_3.txt	3.1291
task_basi_III(1981)_leSe.txt	3.1291
task_basi_IV(1981)_lexi_2.txt	3.1291
task_basi_IV(1981)_lexi_3.txt	3.1291
task_basi_IV(1981)_lexi.txt	3.1291
task_basi_IV(1981)_phra.txt	3.1291
task_russ_(2010)_gram_2.txt	3.1291
task_russ_(2010)_gram_3.txt	3.1291
task_russ_(2010)_gram_4.txt	3.1291
task_russ_(2010)_gram.txt	3.1291
task_russ_(2010)_lexi_2.txt	3.1291
task_russ_(2010)_lexi_3.txt	3.1291
task_russ_(2010)_lexi.txt	3.1291
task_russ_1(2008)_gram.txt	3.1291
task_russ_1(2009)_gram_2.txt	3.1291
task_russ_1(2009)_gram_3.txt	3.1291
task_russ_1(2009)_gram.txt	3.1291
task_russ_1(2015)_gram_2.txt	3.1291
task_russ_1(2015)_gram_3.txt	3.1291
task_russ_1(2015)_gram.txt	3.1291
task_russ_2(2008)_gram.txt	3.1291
task_russ_2(2009)_gram_2.txt	3.1291
task_russ_2(2009)_gram_3.txt	3.1291
task_russ_2(2009)_gram.txt	3.1291
