document	R
task_russ_(2010)_gram_4.txt	7.97724035217466
task_russ_(2010)_gram.txt	7.17804919486503
task_russ_(2010)_lexi_2.txt	7.625
task_russ_(2010)_lexi_3.txt	7.5
task_russ_(2010)_lexi.txt	7.00538876138314
task_russ_1(2008)_gram.txt	5.47010767006262
task_russ_1(2009)_gram_2.txt	5.90878947868752
task_russ_1(2009)_gram_3.txt	5.24951207724874
task_russ_1(2009)_gram.txt	6.42539604115686
task_russ_1(2015)_gram_2.txt	3.57770876399966
task_russ_1(2015)_gram_3.txt	5.91836354299286
task_russ_1(2015)_gram.txt	5.42720420239975
task_russ_2(2008)_gram.txt	7.68542708466382
task_russ_2(2009)_gram_2.txt	6.36396103067893
task_russ_2(2009)_gram_3.txt	6.74199862463242
task_russ_2(2009)_gram.txt	6.07547466500053
task_russ_2(2009)_lexi.txt	5.91784025919366
task_russ_2(2016)_gram_2.txt	7.09208143266975
task_russ_2(2016)_gram_3.txt	7.06555574049755
task_russ_2(2016)_gram.txt	7.84276281494146
task_russ_3(2009)_gram_2.txt	7.27323861838727
task_russ_3(2009)_gram_3.txt	6.62266178532522
task_russ_3(2009)_gram_4.txt	6.50083606663154
task_russ_3(2009)_gram_5.txt	6.80336051416609
task_russ_3(2009)_gram_6.txt	7.35866835779409
task_russ_3(2009)_gram_7.txt	6.39588988393385
task_russ_3(2009)_gram.txt	9.99846142010013
task_russ_3(2009)_lexi.txt	5.9603956067927
task_russ_3(2018)_gram_2.txt	7.94546630366077
task_russ_3(2018)_gram_3.txt	6.47700647700972
task_russ_3(2018)_gram_4.txt	6.65640235470275
task_russ_3(2018)_gram_5.txt	8.75760539039714
task_russ_3(2018)_gram.txt	7.46392289131769
task_russ_4(2009)_gram_2.txt	5.14495755427526
task_russ_4(2009)_gram_3.txt	7.37359227335623
task_russ_4(2009)_gram_4.txt	7.97724035217466
task_russ_4(2009)_gram.txt	8.69654151109185
task_russ_4(2009)_lexi_2.txt	6.35281110652787
task_russ_4(2009)_lexi.txt	6.91514837935049
task_russ_4(2010)_gram_2.txt	7.77817459305202
task_russ_4(2010)_gram_3.txt	9.88455096734733
task_russ_4(2010)_gram_4.txt	9.50128077067433
task_russ_4(2010)_gram_5.txt	9.03092033648253
task_russ_4(2010)_gram.txt	8.05980124070091
task_russ_4(2010)_lexi_2.txt	6.82242292337953
task_russ_4(2010)_lexi.txt	5.84940315257713
task_russ_5(2010)_gram.txt	8.62662185627507
task_russ_5(2010)_lexi_2.txt	8.63044240363576
task_russ_5(2010)_lexi_3.txt	7.63198473604579
task_russ_5(2010)_lexi_4.txt	9.67532636651123
task_russ_5(2010)_lexi.txt	9.26505638629738
task_russ_6(2011)_gram_2.txt	6.09077671365564
task_russ_6(2011)_gram.txt	4.74692883171144
task_russ_6(2011)_leSe.txt	9.83899158428766
task_russ_6(2011)_lexi_2.txt	9
task_russ_6(2011)_lexi_3.txt	10.042907945411
task_russ_6(2011)_lexi.txt	10.2318976403846
task_russ_6(2011)_phra_2.txt	7.96495299361372
task_russ_6(2011)_phra.txt	6.11191913849942
task_russ_6(2011)_tran_2.txt	9.60053190015832
task_russ_6(2011)_tran_3.txt	6.00832755431992
task_russ_6(2011)_tran_4.txt	12.8098599138795
task_russ_6(2011)_tran_5.txt	5.91836354299286
task_russ_6(2011)_tran.txt	9.72549151380974
task_russ_7(2011)_lexi_2.txt	7.67234415709207
task_russ_7(2011)_lexi_3.txt	8.64967016094428
task_russ_7(2011)_lexi.txt	8.26562234925555
task_russ_8(2011)_gram_2.txt	9.18558653543692
task_russ_8(2011)_gram_3.txt	7.55609651834825
task_russ_8(2011)_gram.txt	6.79099750101732
task_russ_8(2011)_lexi.txt	9.2424733098579
task_trav_1(2010)_gram_2.txt	4.36435780471985
task_trav_1(2010)_gram_3.txt	6.20318080139492
task_trav_1(2010)_gram_4.txt	6.44128838652884
task_trav_1(2010)_gram.txt	6.18098256384415
task_trav_1(2010)_lexi.txt	6.03022689155527
task_trav_2(2010)_gram_2.txt	7.83275894407943
task_trav_2(2010)_gram_3.txt	6.92820323027551
task_trav_2(2010)_gram.txt	6.5513841988266
task_trav_2(2010)_lexi.txt	4.14613991448386
task_trav_3(2011)_gram_2.txt	7.35420541930925
task_trav_3(2011)_gram_3.txt	6.875
task_trav_3(2011)_gram_4.txt	7.05127152416689
task_trav_3(2011)_gram_5.txt	6.49519052838329
task_trav_3(2011)_gram_6.txt	7.51860437612632
task_trav_3(2011)_gram.txt	7.79326245926801
task_trav_4(2016)_gram_2.txt	7.44444444444444
task_trav_4(2016)_gram_3.txt	5.83997116070745
task_trav_4(2016)_gram_4.txt	8.77733824497306
task_trav_4(2016)_gram.txt	8.56402899297945
task_vost_1(1994)_gram_2.txt	3.2659863237109
task_vost_1(1994)_gram_3.txt	3.04255531702266
task_vost_1(1994)_gram_4.txt	3.77964473009227
task_vost_1(1994)_gram.txt	2.45373864405591
task_vost_1(2009)_gram_2.txt	4.67342584095534
task_vost_1(2009)_gram_3.txt	6.03863529939255
task_vost_1(2009)_gram_4.txt	4.95940971092841
task_vost_1(2009)_gram_5.txt	4.2485291572496
task_vost_1(2009)_gram.txt	2.1380899352994
task_vost_1(2011)_gram_2.txt	4.91353814911995
task_vost_1(2011)_gram_3.txt	2.83333333333333
task_vost_1(2011)_gram_4.txt	3.06412938514171
task_vost_1(2011)_gram_5.txt	4.63586324972765
task_vost_1(2011)_gram_6.txt	3.81000381000571
