document	D
read_russ_2(2008)_3.txt	0.00647360759978549
read_russ_2(2008)_4.txt	0.00583452893352463
read_russ_2(2008)_5.txt	0.003487358326068
read_russ_2(2008)_6.txt	0.0124732715609408
read_russ_2(2008)_7.txt	0.00688360450563204
read_russ_2(2008)_8.txt	0.00485773768216516
read_russ_2(2008)_9.txt	0.005941770647653
read_russ_2(2008).txt	0.00559773023541139
read_russ_2(2009)_2.txt	0.00504413619167718
read_russ_2(2009)_3.txt	0.010974610974611
read_russ_2(2009)_4.txt	0.0145067698259188
read_russ_2(2009)_5.txt	0.0103905901718048
read_russ_2(2009)_6.txt	0.00994974874371859
read_russ_2(2009).txt	0.00918900104420466
read_russ_2(2016)_2.txt	0.0100082712985939
read_russ_2(2016)_3.txt	0.0031988188976378
read_russ_2(2016)_4.txt	0.00788153809410079
read_russ_2(2016)_5.txt	0.00698191050460171
read_russ_2(2016)_6.txt	0.00503225806451613
read_russ_2(2016)_7.txt	0.00480413895048041
read_russ_2(2016).txt	0.0195587358378056
read_russ_3(2009)_2.txt	0.00541352550656615
read_russ_3(2009)_3.txt	0.00523142915108831
read_russ_3(2009)_4.txt	0.00563067554811003
read_russ_3(2009)_5.txt	0.00662286055632029
read_russ_3(2009)_6.txt	0.00646498135101533
read_russ_3(2009)_7.txt	0.00693164867947705
read_russ_3(2009).txt	0.00897800389046835
read_russ_3(2018)_2.txt	0.00452725452725453
read_russ_3(2018)_3.txt	0.00519713261648745
read_russ_3(2018)_4.txt	0.00778354336545589
read_russ_3(2018)_5.txt	0.00482592983322484
read_russ_3(2018).txt	0.00503134608473426
read_russ_4(2009)_2.txt	0.0068649885583524
read_russ_4(2009)_3.txt	0.00564591318761007
read_russ_4(2009)_4.txt	0.00904539765616111
read_russ_4(2009).txt	0.00693367786391042
read_russ_4(2010)_2.txt	0.00416416088057879
read_russ_4(2010)_3.txt	0.00568176194011383
read_russ_4(2010)_4.txt	0.00287762766424426
read_russ_4(2010)_5.txt	0.00271883032173902
read_russ_4(2010)_6.txt	0.00474883665433719
read_russ_4(2010)_7.txt	0.00413732328625946
read_russ_4(2010).txt	0.00506776172115817
read_russ_5(2010)_2.txt	0.00436895429331133
read_russ_5(2010)_3.txt	0.0077529989763418
read_russ_5(2010)_4.txt	0.00607787274453941
read_russ_5(2010)_5.txt	0.00489104769614788
read_russ_5(2010).txt	0.00405191313671206
read_russ_6(2011)_10.txt	0.0050854152266219
read_russ_6(2011)_11.txt	0.00459298348480407
read_russ_6(2011)_12.txt	0.00638351344558934
read_russ_6(2011)_2.txt	0.004858934169279
read_russ_6(2011)_3.txt	0.00699767086321708
read_russ_6(2011)_4.txt	0.00362192658633419
read_russ_6(2011)_5.txt	0.00611456768933705
read_russ_6(2011)_6.txt	0.00500019194594802
read_russ_6(2011)_7.txt	0.00334803755231309
read_russ_6(2011)_8.txt	0.00434802936088644
read_russ_6(2011)_9.txt	0.00439092140336954
read_russ_6(2011).txt	0.002486193923126
read_russ_7(2011)_2.txt	0.00325027085590466
read_russ_7(2011)_3.txt	0.00462678976002959
read_russ_7(2011)_4.txt	0.00352579299947721
read_russ_7(2011)_5.txt	0.00457353290567831
read_russ_7(2011)_6.txt	0.0046509074941452
read_russ_7(2011)_7.txt	0.00563563074480105
read_russ_7(2011).txt	0.0076984126984127
read_russ_8(2011)_2.txt	0.0039718057731036
read_russ_8(2011)_3.txt	0.0050467023463096
read_russ_8(2011)_4.txt	0.00462494580141639
read_russ_8(2011)_5.txt	0.00555122941148709
read_russ_8(2011)_6.txt	0.00574902151940474
read_russ_8(2011).txt	0.00386840021437539
read_trav_1(2010)_2.txt	0.00951293759512938
read_trav_1(2010)_3.txt	0.00910960916838084
read_trav_1(2010)_4.txt	0.0061624649859944
read_trav_1(2010)_5.txt	0.00916945864926821
read_trav_1(2010).txt	0.0109745390693591
read_trav_2(2010)_2.txt	0.00684547188867692
read_trav_2(2010)_3.txt	0.00669950738916256
read_trav_2(2010)_4.txt	0.00500480461242793
read_trav_2(2010)_5.txt	0.00860215053763441
read_trav_2(2010)_6.txt	0.00412060301507538
read_trav_2(2010).txt	0.00464396284829721
read_trav_3(2011)_2.txt	0.00974658869395711
read_trav_3(2011)_3.txt	0.0105239075726378
read_trav_3(2011)_4.txt	0.00796042970863282
read_trav_3(2011)_5.txt	0.00531979571984436
read_trav_3(2011)_6.txt	0.00742447516641065
read_trav_3(2011)_7.txt	0.00638663718987964
read_trav_3(2011).txt	0.00701847903340441
read_trav_4(2016)_2.txt	0.00365887276645866
read_trav_4(2016)_3.txt	0.00388751033912324
read_trav_4(2016)_4.txt	0.00607287449392713
read_trav_4(2016)_5.txt	0.00640490114174325
read_trav_4(2016)_6.txt	0.00574520569746161
read_trav_4(2016).txt	0.00930232558139535
read_vost_1(1994)_2.txt	0.026395173453997
read_vost_1(1994)_3.txt	0.0417732310315431
read_vost_1(1994)_4.txt	0.037719298245614
read_vost_1(1994)_5.txt	0.0175824175824176
read_vost_1(1994)_6.txt	0.0186414708886619
read_vost_1(1994).txt	0.0220408163265306
read_vost_1(2009)_2.txt	0.0325644504748982
read_vost_1(2009)_3.txt	0.0181540808543097
read_vost_1(2009)_4.txt	0.00763358778625954
read_vost_1(2009)_5.txt	0.0149843721272293
